config,kv,spec,extra,max_model_len,context_tokens,prefill_tps,decode_tps,peak_tps,ttft_ms
C_dflash_n3,auto,DFlash n=3,-,262144,2048,2694.77,23.65,33.5,1138.8
C_dflash_n3,auto,DFlash n=3,-,262144,3072,2968.47,23.0,31.5,1396.2
C_dflash_n3,auto,DFlash n=3,-,262144,4096,2730.39,24.71,34.5,1876.6
C_dflash_n3,auto,DFlash n=3,-,262144,6144,2737.66,22.36,36.5,2620.2
C_dflash_n3,auto,DFlash n=3,-,262144,8192,2728.06,22.97,35.0,3379.4
C_dflash_n3,auto,DFlash n=3,-,262144,12288,2699.3,25.29,40.0,4931.0
C_dflash_n3,auto,DFlash n=3,-,262144,16384,2647.32,22.22,30.0,6572.2
C_dflash_n3,auto,DFlash n=3,-,262144,24576,2557.81,32.59,39.5,9999.6
C_dflash_n3,auto,DFlash n=3,-,262144,32768,2476.63,21.12,29.0,13629.4
C_dflash_n3,auto,DFlash n=3,-,262144,49152,2293.77,23.78,32.0,21844.9
C_dflash_n3,auto,DFlash n=3,-,262144,65536,2132.54,21.21,30.0,31160.8
B_dflash_n7,auto,DFlash n=7,-,262144,0,1799.97,23.47,37.5,469.9
B_dflash_n7,auto,DFlash n=7,-,262144,512,2657.13,18.6,26.0,571.1
B_dflash_n7,auto,DFlash n=7,-,262144,1024,3046.28,21.84,30.0,690.0
B_dflash_n7,auto,DFlash n=7,-,262144,2048,2641.01,19.32,30.5,1155.1
B_dflash_n7,auto,DFlash n=7,-,262144,3072,2904.8,18.06,31.0,1419.7
B_dflash_n7,auto,DFlash n=7,-,262144,4096,2709.67,18.25,25.0,1886.5
B_dflash_n7,auto,DFlash n=7,-,262144,6144,2736.07,20.03,28.0,2618.6
B_dflash_n7,auto,DFlash n=7,-,262144,8192,2734.29,19.96,28.0,3369.2
B_dflash_n7,auto,DFlash n=7,-,262144,12288,2694.01,21.78,46.0,4936.8
B_dflash_n7,auto,DFlash n=7,-,262144,16384,2566.12,18.77,28.0,6769.9
B_dflash_n7,auto,DFlash n=7,-,262144,24576,2513.16,20.03,34.0,10170.5
B_dflash_n7,auto,DFlash n=7,-,262144,32768,2436.84,17.66,23.0,13845.9
B_dflash_n7,auto,DFlash n=7,-,262144,49152,2259.08,14.69,21.5,22173.3
B_dflash_n7,auto,DFlash n=7,-,262144,65536,2096.14,16.89,27.5,31697.2
E_dflash_n15,auto,DFlash n=15,-,262144,0,1803.07,20.75,32.0,478.9
E_dflash_n15,auto,DFlash n=15,-,262144,512,2621.33,17.1,27.0,586.5
E_dflash_n15,auto,DFlash n=15,-,262144,1024,2985.0,17.49,28.5,710.1
E_dflash_n15,auto,DFlash n=15,-,262144,2048,2588.56,16.09,25.5,1184.8
E_dflash_n15,auto,DFlash n=15,-,262144,3072,2416.18,15.55,26.0,1679.2
E_dflash_n15,auto,DFlash n=15,-,262144,4096,2707.58,16.06,26.0,1897.5
E_dflash_n15,auto,DFlash n=15,-,262144,6144,2450.26,16.28,32.0,2911.7
E_dflash_n15,auto,DFlash n=15,-,262144,8192,2521.71,18.15,29.5,3647.3
E_dflash_n15,auto,DFlash n=15,-,262144,12288,2504.79,17.46,27.0,5305.8
E_dflash_n15,auto,DFlash n=15,-,262144,16384,2454.33,14.38,23.5,7079.6
E_dflash_n15,auto,DFlash n=15,-,262144,24576,2367.85,15.33,22.0,10790.8
E_dflash_n15,auto,DFlash n=15,-,262144,32768,2290.34,13.75,20.5,14726.1
E_dflash_n15,auto,DFlash n=15,-,262144,49152,2124.76,15.41,25.5,23571.5
E_dflash_n15,auto,DFlash n=15,-,262144,65536,1980.56,16.05,24.0,33544.4
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,0,1962.07,23.29,37.0,456.3
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,512,2768.97,21.61,42.5,565.4
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,1024,3137.68,20.25,29.0,685.3
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,2048,2686.81,20.2,30.5,1148.6
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,3072,2944.53,20.4,35.5,1413.0
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,4096,2730.3,20.72,35.0,1883.7
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,6144,2739.77,20.42,43.5,2624.8
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,8192,2737.05,20.77,30.0,3375.8
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,12288,2699.35,19.57,27.5,4937.3
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,16384,2574.46,20.5,40.5,6758.7
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,24576,2525.78,20.39,32.0,10128.6
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,32768,2442.02,16.35,23.0,13824.9
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,49152,2264.75,20.94,32.5,22128.7
G_dflash_n7_fp8kv,fp8,DFlash n=7,-,262144,65536,2095.64,22.75,50.0,31713.1
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,0,2097.75,18.0,19.0,361.7
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,512,2803.64,18.12,19.0,483.2
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,1024,3171.77,18.05,19.0,602.3
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,2048,2764.55,18.01,19.0,1044.1
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,3072,3057.45,17.96,19.0,1290.1
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,4096,2839.07,17.89,19.0,1741.1
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,6144,2839.22,17.8,19.0,2462.6
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,8192,2836.62,17.72,19.0,3186.5
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,12288,2772.31,17.62,18.0,4735.7
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,16384,2758.21,17.44,18.0,6243.6
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,24576,2652.79,17.22,18.0,9575.2
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,32768,2577.39,16.71,18.0,13030.4
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,49152,2405.49,16.45,17.0,20766.5
F_nvfp4_n0_eager,auto,none (n=0),enforce-eager,262144,65536,2237.19,16.04,17.0,29641.3
